,Lead Number,Converted,Converted_Prob,final_predicted,Score
0,3342,0,0.017462611024215417,0,1.7462611024215418
1,3414,0,0.008090476918032254,0,0.8090476918032253
2,8351,1,0.2848947738055538,0,28.48947738055538
3,2914,1,0.9827464226221809,1,98.2746422622181
4,4967,0,0.16028489566244122,0,16.028489566244122
5,4168,1,0.9827464226221809,1,98.2746422622181
6,5092,1,0.8481631987247569,1,84.81631987247569
7,7199,1,0.9820310604138707,1,98.20310604138707
8,5126,0,0.07171652913288987,0,7.171652913288987
9,1197,0,0.37096912161498147,1,37.096912161498146
10,976,0,0.03308139649309602,0,3.3081396493096022
11,8914,0,0.01206065780815329,0,1.206065780815329
12,6582,1,0.9520670969468875,1,95.20670969468875
13,7211,1,0.9998816469923627,1,99.98816469923626
14,7756,0,0.07171652913288987,0,7.171652913288987
15,1395,1,0.8994036416120268,1,89.94036416120268
16,5774,0,0.01206065780815329,0,1.206065780815329
17,7415,0,0.092451713811051,0,9.245171381105099
18,936,1,0.9991783297725894,1,99.91783297725894
19,4975,0,0.11946334849332516,0,11.946334849332516
20,4917,0,0.09129445133562959,0,9.129445133562959
21,7652,1,0.9827464226221809,1,98.2746422622181
22,2960,1,0.9414824702106984,1,94.14824702106984
23,4504,1,0.37096912161498147,1,37.096912161498146
24,4602,1,0.7905126848996977,1,79.05126848996977
25,1096,0,0.37096912161498147,1,37.096912161498146
26,8451,1,0.37096912161498147,1,37.096912161498146
27,6654,0,0.09129445133562959,0,9.129445133562959
28,7754,0,0.008090476918032254,0,0.8090476918032253
29,7638,0,0.37096912161498147,1,37.096912161498146
30,6713,0,0.10075385468923423,0,10.075385468923423
31,8032,1,0.7905126848996977,1,79.05126848996977
32,2844,1,0.9827464226221809,1,98.2746422622181
33,1137,0,0.005479796206549144,0,0.5479796206549145
34,1791,0,0.008090476918032254,0,0.8090476918032253
35,4866,0,0.008090476918032254,0,0.8090476918032253
36,4476,0,0.008179421033441015,0,0.8179421033441014
37,5789,0,0.37096912161498147,1,37.096912161498146
38,1425,1,0.9827464226221809,1,98.2746422622181
39,7230,1,0.37096912161498147,1,37.096912161498146
40,92,0,0.37096912161498147,1,37.096912161498146
41,7027,0,0.002075362028824085,0,0.20753620288240848
42,9181,0,0.07171652913288987,0,7.171652913288987
43,7457,0,0.2848947738055538,0,28.48947738055538
44,77,1,0.9291897793777381,1,92.9189779377738
45,5807,1,0.998843279451322,1,99.8843279451322
46,8472,0,0.37096912161498147,1,37.096912161498146
47,198,0,0.09129445133562959,0,9.129445133562959
48,9006,0,0.002075362028824085,0,0.20753620288240848
49,6874,0,0.011163908649850226,0,1.1163908649850225
50,7761,0,0.018986181965650616,0,1.8986181965650617
51,3575,1,0.9883294115246765,1,98.83294115246764
52,4617,0,0.002075362028824085,0,0.20753620288240848
53,4238,1,0.9827464226221809,1,98.2746422622181
54,1766,1,0.37096912161498147,1,37.096912161498146
55,1326,1,0.37096912161498147,1,37.096912161498146
56,892,1,0.37096912161498147,1,37.096912161498146
57,2108,1,0.37096912161498147,1,37.096912161498146
58,5496,0,0.008090476918032254,0,0.8090476918032253
59,4709,0,0.37096912161498147,1,37.096912161498146
60,919,0,0.092451713811051,0,9.245171381105099
61,4358,1,0.8481631987247569,1,84.81631987247569
62,4695,0,0.37096912161498147,1,37.096912161498146
63,7563,0,0.11946334849332516,0,11.946334849332516
